Player Name,Player ID,Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
trevor stephan,663986,Aug 25,CLE,@ TOR,0,0,2.77,1,0,0,0,0,0,1.0,0,0,0,0,0,1,0,1,13-7,.238,1.19,0.76
trevor stephan,663986,Aug 27,CLE,@ TOR,0,0,2.88,1,0,0,0,0,1,1.0,2,1,1,0,0,0,0,0,11-7,.243,1.21,0.76
trevor stephan,663986,Aug 29,CLE,@ MIN,0,0,2.83,1,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,8-4,.241,1.20,0.77
trevor stephan,663986,Aug 30,CLE,@ MIN,1,0,2.78,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,3,17-12,.237,1.18,0.77
trevor stephan,663986,Sep 1,CLE,vs TB,0,0,2.73,1,0,0,0,0,0,1.0,1,0,0,0,0,1,0,2,19-12,.237,1.20,0.75
trevor stephan,663986,Sep 3,CLE,vs TB,0,1,2.83,1,0,0,0,0,0,1.0,1,1,1,0,0,1,0,2,21-12,.238,1.21,0.74
trevor stephan,663986,Sep 5,CLE,vs MIN,0,1,3.54,1,0,0,0,0,0,0.2,3,5,5,0,1,2,0,1,31-17,.247,1.28,0.73
trevor stephan,663986,Sep 7,CLE,@ LAA,0,0,3.48,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,8-7,.243,1.26,0.72
trevor stephan,663986,Sep 8,CLE,@ LAA,0,0,3.43,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,9-6,.240,1.24,0.74
trevor stephan,663986,Sep 12,CLE,@ SF,0,0,3.38,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,13-10,.241,1.23,0.73
trevor stephan,663986,Sep 18,CLE,@ KC,0,1,3.76,1,0,0,0,0,0,0.2,0,4,3,0,1,3,0,0,31-12,.238,1.27,0.71
trevor stephan,663986,Sep 21,CLE,vs BAL,1,0,3.97,1,0,0,0,0,1,1.0,3,2,2,0,0,0,0,1,20-12,.245,1.29,0.74
trevor stephan,663986,Sep 24,CLE,vs BAL,0,0,3.92,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,13-8,.242,1.28,0.74
trevor stephan,663986,Sep 27,CLE,vs CIN,0,0,4.12,1,0,0,0,0,0,1.0,2,2,2,0,0,0,0,1,15-9,.245,1.29,0.77
john means,607644,Sep 12,BAL,vs STL,0,1,5.40,1,1,0,0,0,0,5.0,5,3,3,2,0,0,0,1,75-55,.263,1.00,0.40
john means,607644,Sep 18,BAL,@ HOU,0,0,3.60,1,1,0,0,0,0,5.0,4,1,1,0,0,3,0,1,86-55,.243,1.20,0.35
john means,607644,Sep 23,BAL,@ CLE,1,0,2.60,1,1,0,0,0,0,7.1,1,1,1,1,1,1,0,4,96-65,.167,0.81,0.55
mauricio llovera,661440,Jul 7,SF,vs COL,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,0,0,0,3,21-16,.286,1.00,1.00
mauricio llovera,661440,Jul 14,SF,@ PIT,1,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,1,0,0,8-4,.250,1.13,0.33
mauricio llovera,661440,Jul 18,SF,@ CIN,0,0,2.70,1,0,0,0,0,1,0.2,1,1,1,1,0,1,0,0,20-11,.273,1.50,0.50
mauricio llovera,661440,Jul 20,SF,@ CIN,0,0,2.08,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,19-11,.267,1.38,0.75
mauricio llovera,661440,Jul 21,SF,@ WSH,0,0,1.69,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,4-4,.222,1.13,0.67
mauricio llovera,661440,Jul 29,BOS,@ SF,0,0,1.42,1,0,0,0,0,0,1.0,1,0,0,0,0,2,1,3,27-17,.227,1.42,0.67
