Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Riley Adams,656180,2021,TOR,AL,12,28,2,3,5,2,0,0,0,2,0,12,0,0,.107,.167,.179,.346,0.63
Riley Adams,656180,2021,WSH,NL,35,71,11,19,33,6,1,2,10,13,0,28,0,0,.268,.422,.465,.887,1.40
Riley Adams,656180,2022,WSH,NL,48,142,14,25,44,4,0,5,10,12,0,46,0,1,.176,.245,.310,.555,0.97
Riley Adams,656180,2023,WSH,NL,44,143,8,39,68,13,2,4,21,11,0,45,0,0,.273,.331,.476,.807,0.61
Drew Millas,686452,2023,WSH,NL,11,28,1,8,13,2,0,1,6,4,0,5,0,0,.286,.375,.464,.839,1.67
Israel Pineda,672832,2022,WSH,NL,4,13,1,1,1,0,0,0,0,1,0,7,0,0,.077,.143,.077,.220,1.50
Keibert Ruiz,660688,2020,LAD,NL,2,8,1,2,5,0,0,1,1,0,0,3,0,0,.250,.250,.625,.875,0.50
Keibert Ruiz,660688,2021,2 teams,-,29,88,10,24,36,3,0,3,15,6,0,9,0,0,.273,.333,.409,.742,0.77
Keibert Ruiz,660688,2021,LAD,NL,6,7,1,1,4,0,0,1,1,0,0,5,0,0,.143,.143,.571,.714,1.00
Keibert Ruiz,660688,2021,WSH,NL,23,81,9,23,32,3,0,2,14,6,0,4,0,0,.284,.348,.395,.743,0.74
Keibert Ruiz,660688,2022,WSH,NL,112,394,33,99,142,22,0,7,36,30,0,50,6,1,.251,.313,.360,.673,0.91
Keibert Ruiz,660688,2023,WSH,NL,136,523,55,136,214,24,0,18,67,31,1,58,1,1,.260,.308,.409,.717,0.75
Cj Abrams,682928,2022,2 teams,-,90,284,33,70,92,12,2,2,21,5,0,50,7,4,.246,.280,.324,.604,1.21
Cj Abrams,682928,2022,SD,NL,46,125,16,29,40,5,0,2,11,4,0,27,1,2,.232,.285,.320,.605,1.28
Cj Abrams,682928,2022,WSH,NL,44,159,17,41,52,7,2,0,10,1,0,23,6,2,.258,.276,.327,.603,1.16
Cj Abrams,682928,2023,WSH,NL,151,563,83,138,232,28,6,18,64,32,2,118,47,4,.245,.300,.412,.712,0.92
Jake Alu,666906,2023,WSH,NL,51,159,14,36,46,2,1,2,16,10,0,42,5,1,.226,.282,.289,.571,1.55
Jeter Downs,669023,2022,BOS,AL,14,39,4,6,10,1,0,1,4,1,0,21,0,0,.154,.171,.256,.427,0.44
Jeter Downs,669023,2023,WSH,NL,6,5,4,2,2,0,0,0,1,4,0,1,2,0,.400,.667,.400,1.067,1.00
Luis Garcia,671277,2020,WSH,NL,40,134,18,37,49,6,0,2,16,5,0,29,1,1,.276,.302,.366,.668,3.25
Luis Garcia,671277,2021,WSH,NL,70,236,29,57,97,18,2,6,22,11,1,43,0,2,.242,.275,.411,.686,1.89
Luis Garcia,671277,2022,WSH,NL,93,360,29,99,147,23,2,7,45,11,1,84,3,4,.275,.295,.408,.703,1.68
Luis Garcia,671277,2023,WSH,NL,122,447,61,119,172,18,4,9,50,27,1,60,9,4,.266,.304,.385,.689,1.58
Carter Kieboom,666198,2019,WSH,NL,11,39,4,5,11,0,0,2,2,4,1,16,0,0,.128,.209,.282,.491,1.25
Carter Kieboom,666198,2020,WSH,NL,33,99,15,20,21,1,0,0,9,17,0,33,0,1,.202,.344,.212,.556,0.96
Carter Kieboom,666198,2021,WSH,NL,62,217,26,45,69,6,0,6,20,25,2,62,0,0,.207,.301,.318,.619,1.11
Carter Kieboom,666198,2023,WSH,NL,27,87,12,18,32,2,0,4,11,6,0,27,0,0,.207,.266,.368,.634,1.10
Ildemaro Vargas,545121,2017,AZ,NL,12,13,4,4,5,1,0,0,4,0,0,3,0,0,.308,.308,.385,.693,2.00
Ildemaro Vargas,545121,2018,AZ,NL,14,19,2,4,7,0,0,1,4,1,0,4,1,0,.211,.250,.368,.618,0.83
Ildemaro Vargas,545121,2019,AZ,NL,92,201,25,54,83,9,1,6,24,9,0,24,1,0,.269,.299,.413,.712,1.48
Ildemaro Vargas,545121,2020,3 teams,-,24,51,6,10,16,1,1,1,3,2,0,10,0,0,.196,.222,.314,.536,1.46
Ildemaro Vargas,545121,2020,AZ,NL,8,20,2,3,3,0,0,0,0,1,0,5,0,0,.150,.190,.150,.340,2.00
Ildemaro Vargas,545121,2020,MIN,AL,10,22,3,5,8,1,1,0,2,1,0,2,0,0,.227,.250,.364,.614,1.00
Ildemaro Vargas,545121,2020,CHC,NL,6,9,1,2,5,0,0,1,1,0,0,3,0,0,.222,.222,.556,.778,3.00
Ildemaro Vargas,545121,2021,3 teams,-,34,77,7,12,17,3,1,0,7,6,1,17,1,0,.156,.217,.221,.438,1.67
Ildemaro Vargas,545121,2021,CHC,NL,9,21,3,3,5,2,0,0,2,3,0,7,1,0,.143,.250,.238,.488,1.20
Ildemaro Vargas,545121,2021,PIT,NL,7,13,0,1,1,0,0,0,1,0,0,3,0,0,.077,.077,.077,.154,2.00
Ildemaro Vargas,545121,2021,AZ,NL,18,43,4,8,11,1,1,0,4,3,1,7,0,0,.186,.239,.256,.495,1.80
Ildemaro Vargas,545121,2022,2 teams,-,63,209,19,55,82,13,1,4,23,8,0,23,3,1,.263,.299,.392,.691,1.05
Ildemaro Vargas,545121,2022,CHC,NL,10,23,4,3,8,0,1,1,4,3,0,2,0,0,.130,.231,.348,.579,1.57
Ildemaro Vargas,545121,2022,WSH,NL,53,186,15,52,74,13,0,3,19,5,0,21,3,1,.280,.308,.398,.706,0.98
Ildemaro Vargas,545121,2023,WSH,NL,86,262,32,66,95,13,2,4,31,19,0,20,1,1,.252,.304,.363,.667,1.73
Alex Call,669743,2022,2 teams,-,47,114,18,27,47,3,1,5,13,15,0,30,3,3,.237,.336,.412,.748,0.90
Alex Call,669743,2022,CLE,AL,12,12,2,2,2,0,0,0,0,4,0,4,0,0,.167,.375,.167,.542,1.00
Alex Call,669743,2022,WSH,NL,35,102,16,25,45,3,1,5,13,11,0,26,3,3,.245,.330,.441,.771,0.89
Alex Call,669743,2023,WSH,NL,128,375,43,75,115,14,1,8,38,53,0,78,9,8,.200,.307,.307,.614,0.67
Stone Garrett,656448,2022,AZ,NL,27,76,13,21,41,8,0,4,10,3,0,27,3,1,.276,.309,.539,.848,0.45
Stone Garrett,656448,2023,WSH,NL,89,234,40,63,107,17,0,9,40,26,0,82,3,1,.269,.343,.457,.800,0.52
Victor Robles,645302,2017,WSH,NL,13,24,2,6,11,1,2,0,4,0,0,6,0,1,.250,.308,.458,.766,2.25
Victor Robles,645302,2018,WSH,NL,21,59,8,17,31,3,1,3,10,4,0,12,3,2,.288,.348,.525,.873,0.41
Victor Robles,645302,2019,WSH,NL,155,546,86,139,229,33,3,17,65,35,3,140,28,9,.255,.326,.419,.745,0.90
Victor Robles,645302,2020,WSH,NL,52,168,20,37,53,5,1,3,15,9,0,53,4,1,.220,.293,.315,.608,0.84
Victor Robles,645302,2021,WSH,NL,107,315,37,64,93,21,1,2,19,33,3,85,8,6,.203,.310,.295,.605,0.88
